feature,importance_mlp,importance_cnn,rank_mlp,rank_cnn,rank_diff,importance_diff
Fwd Packets/s,0.003577691238133,0.004345644912537,22.0,35.0,13.0,0.0007679536744040001
Init_Win_bytes_backward,0.0033399027849669,0.004345644912537,23.0,35.0,12.0,0.0010057421275700999
Bwd Packet Length Max,0.0029563594890557,0.004345644912537,24.0,35.0,11.0,0.0013892854234813
Fwd Packet Length Max,0.0029405768489958,0.004345644912537,25.0,35.0,10.0,0.0014050680635411998
Flow IAT Std,0.0025889244501335,0.004345644912537,26.0,35.0,9.0,0.0017567204624034998
Bwd IAT Max,0.0025115903418155,0.004345644912537,27.0,35.0,8.0,0.0018340545707215
Flow Bytes/s,0.002378203360441,0.004345644912537,28.0,35.0,7.0,0.001967441552096
Bwd IAT Std,0.0021851971632741,0.004345644912537,29.0,35.0,6.0,0.0021604477492629002
Flow IAT Mean,0.0019624923210833,0.004345644912537,30.0,35.0,5.0,0.0023831525914537
Bwd IAT Min,0.0019587895340197,0.004345644912537,31.0,35.0,4.0,0.0023868553785173
Bwd Packet Length Mean,0.0017635057980855,0.004345644912537,32.0,35.0,3.0,0.0025821391144515
Avg Bwd Segment Size,0.0016743225640596,0.004345644912537,33.0,35.0,2.0,0.0026713223484774
Idle Mean,0.001640284893359,0.004345644912537,34.0,35.0,1.0,0.002705360019178
Flow Duration,0.0016021176005652,0.004345644912537,35.0,35.0,0.0,0.0027435273119718
Active Mean,0.0015168307835956,0.004345644912537,36.0,35.0,1.0,0.0028288141289414
Fwd IAT Total,0.0014421840447377,0.004345644912537,37.0,35.0,2.0,0.0029034608677993
Fwd IAT Mean,0.0013736012688502,0.004345644912537,38.0,35.0,3.0,0.0029720436436867998
Fwd Packet Length Mean,0.0013532798003898,0.004345644912537,39.0,35.0,4.0,0.0029923651121472
Fwd IAT Min,0.0013178501438545,0.004345644912537,40.0,35.0,5.0,0.0030277947686825
Fwd IAT Std,0.0012619523216832,0.004345644912537,41.0,35.0,6.0,0.0030836925908537998
Fwd Packet Length Min,0.0012209162368721,0.004345644912537,42.0,35.0,7.0,0.0031247286756649
Flow IAT Max,0.0011913337168199,0.004345644912537,43.0,35.0,8.0,0.0031543111957171
Flow IAT Min,0.0011891861036205,0.004345644912537,44.0,35.0,9.0,0.0031564588089164998
Fwd PSH Flags,0.0011040138457934,0.004345644912537,45.0,35.0,10.0,0.0032416310667436003
SYN Flag Count,0.0011036656444055,0.004345644912537,46.0,35.0,11.0,0.0032419792681315
Active Std,0.0010175114663778,0.004345644912537,47.0,35.0,12.0,0.0033281334461592003
Avg Fwd Segment Size,0.0009124003445799,0.004345644912537,48.0,35.0,13.0,0.0034332445679571
Active Min,0.0008966840250475,0.004345644912537,49.0,35.0,14.0,0.0034489608874895
Idle Std,0.0008194069019121,0.004345644912537,50.0,35.0,15.0,0.0035262380106249
act_data_pkt_fwd,0.0007872437357362,0.004345644912537,51.0,35.0,16.0,0.0035584011768008
Active Max,0.0006283295587933,0.004345644912537,52.0,35.0,17.0,0.0037173153537437
Total Fwd Packets,0.0006175446960258,0.004345644912537,53.0,35.0,18.0,0.0037281002165112003
Subflow Fwd Packets,0.0005699439029586,0.004345644912537,54.0,35.0,19.0,0.0037757010095784
Total Length of Bwd Packets,0.0004617326844886,0.004345644912537,55.0,35.0,20.0,0.0038839122280484003
Max Packet Length,0.0004577474882484,0.004345644912537,56.0,35.0,21.0,0.0038878974242886
Subflow Bwd Bytes,0.0004170682806563,0.004345644912537,57.0,35.0,22.0,0.0039285766318807
Total Backward Packets,0.0004104535241295,0.004345644912537,58.0,35.0,23.0,0.0039351913884075
Fwd Header Length.1,0.0004010076627781,0.004345644912537,59.0,35.0,24.0,0.0039446372497589
min_seg_size_forward,0.0003462953410029,0.0043441388413603,60.0,70.0,10.0,0.0039978435003574
Subflow Fwd Bytes,0.0003409634109306,0.004345644912537,61.0,35.0,26.0,0.0040046815016064
Idle Min,0.0003283113614328,0.004345644912537,62.0,35.0,27.0,0.0040173335511042
Subflow Bwd Packets,0.0002989766993534,0.004345644912537,63.0,35.0,28.0,0.0040466682131836
Total Length of Fwd Packets,0.0002805063175401,0.004345644912537,64.0,35.0,29.0,0.0040651385949969
Bwd Header Length,0.0002792302101086,0.004345644912537,65.0,35.0,30.0,0.0040664147024284
Fwd Header Length,0.0001710911989067,0.004345644912537,66.0,35.0,31.0,0.0041745537136303
RST Flag Count,0.0,0.004345644912537,72.5,35.0,37.5,0.004345644912537
Bwd URG Flags,0.0,7.618109606347145e-20,72.5,74.0,1.5,7.618109606347145e-20
Bwd PSH Flags,0.0,0.004345644912537,72.5,35.0,37.5,0.004345644912537
Fwd URG Flags,0.0,0.0002008896539327,72.5,71.0,1.5,0.0002008896539327
Bwd Avg Bulk Rate,0.0,7.618109606347145e-20,72.5,74.0,1.5,7.618109606347145e-20
Bwd Avg Packets/Bulk,0.0,0.004345644912537,72.5,35.0,37.5,0.004345644912537
Bwd Avg Bytes/Bulk,0.0,7.618109606347145e-20,72.5,74.0,1.5,7.618109606347145e-20
Fwd Avg Bulk Rate,0.0,5.69434455423928e-20,72.5,76.0,3.5,5.69434455423928e-20
Fwd Avg Packets/Bulk,0.0,0.0,72.5,77.5,5.0,0.0
Fwd Avg Bytes/Bulk,0.0,0.0,72.5,77.5,5.0,0.0
CWE Flag Count,0.0,0.004345644912537,72.5,35.0,37.5,0.004345644912537
ECE Flag Count,0.0,0.0001136649702854,72.5,72.0,0.5,0.0001136649702854
